type	name	code	yyyymm	value
APT	동구	28140	201104	8.4
APT	미주홀구	28177	201104	9
APT	연수구	28185	201104	8.3
APT	남동구	28200	201104	8.8
APT	부평구	28237	201104	8.6
APT	계양구	28245	201104	9.2
APT	서구	28260	201104	9.5
APT	광주광역시	29	201104	9
APT	서구	29140	201104	8.9
APT	남구	29155	201104	9.5
APT	북구	29170	201104	9
APT	광산구	29200	201104	9
APT	대전광역시	30	201104	7.6
APT	동구	30110	201104	9
APT	중구	30140	201104	8.4
APT	서구	30170	201104	6.9
APT	유성구	30200	201104	7.1
APT	대덕구	30230	201104	9.2
APT	울산광역시	31	201104	8.7
APT	중구	31110	201104	8.6
APT	남구	31140	201104	8
APT	동구	31170	201104	7.8
APT	북구	31200	201104	9
APT	울주군	31710	201104	9.6
APT	세종특별자치시	36110	201104	10.9
APT	경기도	41	201104	8.7
APT	장안구	41111	201104	8.3
APT	권선구	41113	201104	8.9
APT	팔달구	41115	201104	8.5
APT	영통구	41117	201104	7.9
APT	수정구	41131	201104	9
APT	중원구	41133	201104	8.7
APT	분당구	41135	201104	7.5
APT	의정부시	41150	201104	8.9
APT	만안구	41171	201104	8
APT	동안구	41173	201104	7.4
APT	부천시	41190	201104	8
APT	광명시	41210	201104	7.4
APT	평택시	41220	201104	9.7
